PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39048314","When the heart meets the mind: Exploring the brain-heart interaction during time perception","Khoshnoud S, Leitritz D, Çinar Bozdağ M, Alvarez Igarzábal F, Noreika V, Wittmann M.","J Neurosci. 2024 Jul 24:e2039232024. doi: 10.1523/JNEUROSCI.2039-23.2024. Online ahead of print.","Khoshnoud S","J Neurosci","2024","2024/07/24","","","10.1523/JNEUROSCI.2039-23.2024"
"39035777","Heartbeat-evoked potentials following voluntary hyperventilation in epilepsy patients: respiratory influences on cardiac interoception","Stoupi NA, Weijs ML, Imbach L, Lenggenhager B.","Front Neurosci. 2024 Jul 5;18:1391437. doi: 10.3389/fnins.2024.1391437. eCollection 2024.","Stoupi NA","Front Neurosci","2024","2024/07/22","PMC11259972","","10.3389/fnins.2024.1391437"
"39035154","Exploring the technological dimension of Autonomous sensory meridian response-induced physiological responses","Seifzadeh S, Kostek B.","PeerJ. 2024 Jul 18;12:e17754. doi: 10.7717/peerj.17754. eCollection 2024.","Seifzadeh S","PeerJ","2024","2024/07/22","PMC11260406","","10.7717/peerj.17754"
"38860229","Heartbeat evoked potentials and autonomic arousal during dissociative seizures: insights from electrophysiology and neuroimaging","Flasbeck V, Jungilligens J, Lemke I, Beckers J, Öztürk H, Wellmer J, Seliger C, Juckel G, Popkirov S.","BMJ Neurol Open. 2024 Jun 5;6(1):e000665. doi: 10.1136/bmjno-2024-000665. eCollection 2024.","Flasbeck V","BMJ Neurol Open","2024","2024/06/11","PMC11163632","","10.1136/bmjno-2024-000665"
"38839034","Intranasal Oxytocin Improves Interoceptive Accuracy and Heartbeat-Evoked Potentials During a Cardiac Interoceptive Task","Zhou M, Cheng L, Zhou Y, Zhu S, Zhang Y, Kendrick KM, Yao S.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2024 Jun 3:S2451-9022(24)00137-X. doi: 10.1016/j.bpsc.2024.05.004. Online ahead of print.","Zhou M","Biol Psychiatry Cogn Neurosci Neuroimaging","2024","2024/06/05","","","10.1016/j.bpsc.2024.05.004"
"38811512","Resting-State EEG Signature of Early Consciousness Recovery in Comatose Patients with Traumatic Brain Injury","Alkhachroum A, Fló E, Manolovitz B, Cohan H, Shammassian B, Bass D, Aklepi G, Monexe E, Ghamasaee P, Sobczak E, Samano D, Saavedra AB, Massad N, Kottapally M, Merenda A, Cordeiro JG, Jagid J, Kanner AM, Rundek T, O'Phelan K, Claassen J, Sitt JD.","Neurocrit Care. 2024 May 29. doi: 10.1007/s12028-024-02005-2. Online ahead of print.","Alkhachroum A","Neurocrit Care","2024","2024/05/29","","","10.1007/s12028-024-02005-2"
"38811318","The cardiac cycle modulates learning-related interoception","Nokia MS, Xu W, Wikgren J.","Trends Cogn Sci. 2024 May 28:S1364-6613(24)00133-5. doi: 10.1016/j.tics.2024.05.007. Online ahead of print.","Nokia MS","Trends Cogn Sci","2024","2024/05/29","","","10.1016/j.tics.2024.05.007"
"38797841","A neurophysiological profiling of the heartbeat-evoked potential in severe acquired brain injuries: A focus on unconsciousness","Liuzzi P, Cassioli T, Secci S, Hakiki B, Scarpino M, Burali R, di Palma A, Toci T, Grippo A, Cecchi F, Frosini A, Mannini A.","Eur J Neurosci. 2024 May 26. doi: 10.1111/ejn.16394. Online ahead of print.","Liuzzi P","Eur J Neurosci","2024","2024/05/26","","","10.1111/ejn.16394"
"38738870","BrainBeats as an Open-Source EEGLAB Plugin to Jointly Analyze EEG and Cardiovascular Signals","Cannard C, Wahbeh H, Delorme A.","J Vis Exp. 2024 Apr 26;(206). doi: 10.3791/65829.","Cannard C","J Vis Exp","2024","2024/05/13","","","10.3791/65829"
"38623333","Attention to cardiac sensations enhances the heartbeat-evoked potential during exhalation","Zaccaro A, Della Penna F, Mussini E, Parrotta E, Perrucci MG, Costantini M, Ferri F.","iScience. 2024 Mar 27;27(4):109586. doi: 10.1016/j.isci.2024.109586. eCollection 2024 Apr 19.","Zaccaro A","iScience","2024","2024/04/16","PMC11016802","","10.1016/j.isci.2024.109586"
"38518888","Delving into the relationship between regular physical exercise and cardiac interoception in two cross-sectional studies","Yoris AE, Cira LF, Luque-Casado A, Salvotti C, Tajadura-Jiménez A, Avancini C, Zarza-Rebollo JA, Sanabria D, Perakakis P.","Neuropsychologia. 2024 Jun 6;198:108867. doi: 10.1016/j.neuropsychologia.2024.108867. Epub 2024 Mar 20.","Yoris AE","Neuropsychologia","2024","2024/03/22","","","10.1016/j.neuropsychologia.2024.108867"
"38403782","Exploring the neural underpinnings of chord prediction uncertainty: an electroencephalography (EEG) study","Ono K, Mizuochi R, Yamamoto K, Sasaoka T, Ymawaki S.","Sci Rep. 2024 Feb 26;14(1):4586. doi: 10.1038/s41598-024-55366-1.","Ono K","Sci Rep","2024","2024/02/25","PMC10894873","","10.1038/s41598-024-55366-1"
"38379451","Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation","Ventura-Bort C, Weymar M.","Hum Brain Mapp. 2024 Feb 15;45(3):e26613. doi: 10.1002/hbm.26613.","Ventura-Bort C","Hum Brain Mapp","2024","2024/02/21","PMC10879907","","10.1002/hbm.26613"
"38369098","Aberrant heartbeat-evoked potential in schizophrenia","Koreki A, Ogyu K, Miyazaki T, Takenouchi K, Matsushita K, Honda S, Koizumi T, Onaya M, Uchida H, Mimura M, Nakajima S, Noda Y.","Prog Neuropsychopharmacol Biol Psychiatry. 2024 Jun 8;132:110969. doi: 10.1016/j.pnpbp.2024.110969. Epub 2024 Feb 16.","Koreki A","Prog Neuropsychopharmacol Biol Psychiatry","2024","2024/02/18","","","10.1016/j.pnpbp.2024.110969"
"38318683","Interoception as a function of hypnotizability during rest and a heartbeat counting task","Giusti G, Zelič Ž, Callara AL, Sebastiani L, Santarcangelo EL.","Psychophysiology. 2024 Jun;61(6):e14535. doi: 10.1111/psyp.14535. Epub 2024 Feb 6.","Giusti G","Psychophysiology","2024","2024/02/06","","","10.1111/psyp.14535"
"38291167","Heartbeat-evoked neural response abnormalities in generalized anxiety disorder during peripheral adrenergic stimulation","Verdonk C, Teed AR, White EJ, Ren X, Stewart JL, Paulus MP, Khalsa SS.","Neuropsychopharmacology. 2024 Jul;49(8):1246-1254. doi: 10.1038/s41386-024-01806-5. Epub 2024 Jan 30.","Verdonk C","Neuropsychopharmacology","2024","2024/01/30","PMC11224228","","10.1038/s41386-024-01806-5"
"38009624","Cardiac interoception in Anorexia Nervosa: A resting-state heartbeat-evoked potential study","Cambi S, Solcà M, Micali N, Berchio C.","Eur Eat Disord Rev. 2024 May;32(3):417-430. doi: 10.1002/erv.3049. Epub 2023 Nov 27.","Cambi S","Eur Eat Disord Rev","2024","2023/11/27","","","10.1002/erv.3049"
"37920446","Time-varying information measures: an adaptive estimation of information storage with application to brain-heart interactions","Antonacci Y, Barà C, Zaccaro A, Ferri F, Pernice R, Faes L.","Front Netw Physiol. 2023 Oct 18;3:1242505. doi: 10.3389/fnetp.2023.1242505. eCollection 2023.","Antonacci Y","Front Netw Physiol","2023","2023/11/03","PMC10619917","","10.3389/fnetp.2023.1242505"
"37888955","Conscious processing of global and local auditory irregularities causes differentiated heartbeat-evoked responses","Candia-Rivera D, Raimondo F, Pérez P, Naccache L, Tallon-Baudry C, Sitt JD.","Elife. 2023 Oct 27;12:e75352. doi: 10.7554/eLife.75352.","Candia-Rivera D","Elife","2023","2023/10/27","PMC10651171","","10.7554/eLife.75352"
