"column","run_checks","included","allow_empty","allow_none","allow_unknown","allow_brackets","data_type","checks","allowed_values"
"PMID",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"numeric","should match the Pubmed export",""
"DOI",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"character","should match the Pubmed export",""
"title",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"character","should match the Pubmed export",""
"authors",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"character","should match the Pubmed export",""
"citation",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"character","should match the Pubmed export",""
"year",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"numeric","should match the Pubmed export",""
"include",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"numeric","should be 0 or 1",""
"comment",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"character","should be one of the codebook options","Consider, Not Related to HER, Review, Commentary, Toolbox, Preprint, Conference abstract, Intracranial recordings, Duplicate"
"preregistration",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"numeric","should be 0 or 1",""
"sample_size",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"numeric","",""
"setting",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"numeric","",""
"groups",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"numeric","",""
"conditions",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"numeric","",""
"length_min",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"numeric","",""
"trials",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"character","should be a number or a range",""
"trial_estimation",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"character","",""
"modality",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"character","should be one of the codebook options","EEG, MEG"
"meeg_num_electrodes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"numeric","",""
"meeg_layout",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"character","should be one of the codebook options","standard61, standard32, standard19, biosemi128, GSN-HydroCel-65, GSN-HydroCel-129, GSN-HydroCel-257, easycap-M10, QuikCap_NSL_128, Elekta, KRISS"
"eeg_locations",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"character","should belong to the layout (used)",""
"reference_online",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"character","should be one of the codebook options","Common average, Linked mastoids, Left mastoid, Right mastoid, Cz, FCz, Fpz, Fz, Linked earlobes, CMS, Nose, na"
"reference_offline",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"character","should be one of the codebook options, should be set to Laplacian if CSD was used","Common average, Cz, Laplacian reference, Linked earlobes, Linked Mastoids, na, REST"
