"Journal_Full","Journal_Abbreviation","count"
"NeuroImage","Neuroimage",12
"Biological Psychology","Biol Psychol",9
"Psychophysiology","Psychophysiology",9
"Human Brain Mapping","Hum Brain Mapp",6
"Journal of Neuroscience","J Neurosci",6
"Clinical Neurophysiology","Clin Neurophysiol",4
"Frontiers in Neuroscience","Front Neurosci",4
"Scientific Reports","Sci Rep",4
"European Journal of Neuroscience","Eur J Neurosci",3
"Frontiers in Psychiatry","Front Psychiatry",3
"International Journal of Neuroscience","Int J Neurosci",3
"Philosophical Transactions of the Royal Society B: Biological Sciences","Philos Trans R Soc Lond B Biol Sci",3
"Brain Research","Brain Res",2
"Cerebral Cortex","Cereb Cortex",2
"Electroencephalography and Clinical Neurophysiology","Electroencephalogr Clin Neurophysiol",2
"Frontiers in Human Neuroscience","Front Hum Neurosci",2
"NeuroImage: Clinical","Neuroimage Clin",2
"Neuropsychopharmacology","Neuropsychopharmacology",2
"Proceedings of the National Academy of Sciences","Proc Natl Acad Sci U S A",2
"Sleep","Sleep",2
"Social Cognitive and Affective Neuroscience","Soc Cogn Affect Neurosci",2
"eLife","Elife",2
"American Journal of Respiratory and Critical Care Medicine","Am J Respir Crit Care Med",1
"Annals of Clinical and Translational Neurology","Ann Clin Transl Neurol",1
"Applied Psychophysiology and Biofeedback","Appl Psychophysiol Biofeedback",1
"Autonomic Neuroscience","Auton Neurosci",1
"BMJ Neurology Open","BMJ Neurol Open",1
"Biological Psychiatry","Biol Psychiatry",1
"Biological Psychiatry: Cognitive Neuroscience and Neuroimaging","Biol Psychiatry Cogn Neurosci Neuroimaging",1
"Borderline Personality Disorder and Emotion Dysregulation","Borderline Personal Disord Emot Dysregul",1
"Brain Communications","Brain Commun",1
"Brain Sciences","Brain Sci",1
"Brain Stimulation","Brain Stimul",1
"Cerebral Cortex Communications","Cereb Cortex Commun",1
"Communications Biology","Commun Biol",1
"Cortex","Cortex",1
"Electroencephalography and Clinical Neurophysiology","Electroencephalography and Clinical Neurophysiology",1
"Emotion","Emotion",1
"European Eating Disorders Review","Eur Eat Disord Rev",1
"European Journal of Psychotraumatology","Eur J Psychotraumatol",1
"Frontiers in Neurology","Front Neurol",1
"Frontiers in Physiology","Front Physiol",1
"International Journal of Psychophysiology","Int J Psychophysiol",1
"JACC: Clinical Electrophysiology","JACC Clin Electrophysiol",1
"JAMA Psychiatry","JAMA Psychiatry",1
"Journal of Affective Disorders","J Affect Disord",1
"Journal of Alternative and Complementary Medicine","J Altern Complement Med",1
"Journal of Clinical Neurology","J Clin Neurol",1
"Journal of Neurology, Neurosurgery & Psychiatry","J Neurol Neurosurg Psychiatry",1
"Journal of Neuroscience Methods","J Neurosci Methods",1
"Journal of Psychosomatic Research","J Psychosom Res",1
"Journal of Religion and Health","J Relig Health",1
"Medical & Biological Engineering & Computing","Med Biol Eng Comput",1
"Nature Communications","Nat Commun",1
"Nature Neuroscience","Nat Neurosci",1
"Neurocritical Care","Neurocrit Care",1
"Neuropsychobiology","Neuropsychobiology",1
"Neuropsychologia","Neuropsychologia",1
"Neuroscience Bulletin","Neurosci Bull",1
"Neuroscience Letters","Neurosci Lett",1
"PLOS Biology","PLoS Biol",1
"Physiology & Behavior","Physiol Behav",1
"Progress in Neuro-Psychopharmacology and Biological Psychiatry","Prog Neuropsychopharmacol Biol Psychiatry",1
"Psychological Medicine","Psychol Med",1
"Psychoneuroendocrinology","Psychoneuroendocrinology",1
"Psychosomatic Medicine","Psychosom Med",1
"Resuscitation","Resuscitation",1
"iScience","iScience",1
